match_id,puuid,riot_id,sub_cluster_id,main_cluster_id,carries,last_round
SG2_87115790,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,-1,-1,"Ezreal,Garen,K'Sante,Leona,Malzahar,Rakan,Seraphine,Yuumi",34
SG2_87115790,LqUm5Tj_TsC4UYKv7h0GJK3DFgBUjoG22BOZlIc9UyHwXA8lBjFOUgGHPLOoCoWCMm7p2i7a68HMSQ,Contrast1999#1192,-1,-1,"Ahri,Kennen,Lux,Neeko,Swain",31
SG2_87115790,9AMRyhE4iRs4OkMbxyCpWoRPioN46_4dfN3M4DmtOAuomYIhsHqyLUk1ivm1VmFLioI6WOgAya1ywA,和平杀手#SG2,22,64,"Ashe,Braum,Lee_Sin,Sett,Zyra",37
SG2_87115790,Yku9eKuWsLhYBzWp9-DQaphvijyzQipe83gufKQm0Rv-XrDbnOVBEnOCWR-EBHUPsuWlv80kv0PdZQ,ภากร#ภากร,23,192,"Karma,Swain,Zyra",24
SG2_87124803,HloEeaOhAwyTN96HxoJE69J8C1n24WptPubJ8-w9SAd_dtR7R95o1Ozh5i-XQBZ55jpO6sfRNhqj_w,BeyondN#Smurf,24,10,"Ahri,Jinx,Neeko,Poppy,Seraphine,Swain",37
SG2_87124803,5pSgE49Lp1J6gGVCpmEqdNisCMTdOdz98npV1Olp2cu8AjTe3_urAHPTHkOEPgqmnYx2cpGf5-jNBA,Xiao灿#6666,25,5,"Malphite,Sivir,Ziggs",34
SG2_87124803,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,-1,-1,"Braum,Gwen,Twisted_Fate,Zyra",34
SG2_87124803,o7XYDQhMnHxNLvhuK5X5_3HvyjEiUwgnqeB8u72WLDh-ZMJzXhfaVoYAUxwDKd4iwI1yX-pSsNyzvg,Viewツ#9201,-1,-1,"Ryze,Udyr,Yasuo,Zyra",30
SG2_87124803,OI5wkXWGHBSXGYytDCA0VHJAUUdKQA6hYLyv0gkgW4wOaBpgIRme11xzT5L3sU-y5duysfYxYr-5rg,火 DRAGO#VISTA,-1,-1,"Braum,Gwen,Lux,Samira,Sett,Volibear,Yone",40
SG2_87124803,pflwfUyhcZOuNiIE1FbkR5j6iJvCNVEAhkHI3vEUlsxqVxkPrLACxQ2F9IClWoVRuluMWT2jQfCA0Q,Akizul#TDNSL,26,64,"Kayle,Lee_Sin,Sett,Zyra",31
SG2_87124803,76H5FywUg76GRyKdQIzHOclcmi_urhbF-QFjiqY-49Vd5j1sukvW1MVWZPeUEba547ntKLF_ckp4Gw,Haidilao#xdd,27,20,"Samira,Viego,Xin_Zhao",28
SG2_87124803,jujsLDJ3Qk_HIPwCiuDr98uk5_QW5P0I5b259L5Sk8BDWI6IrI1TipnItJOFaWJ-8ZNiqQBTPPK71g,Esther#BIENS,-1,-1,"Ashe,JarvanIV,Karma,Lee_Sin,Yone",40
SG2_87084462,2hB-QEDa5inMXctrIsDNsBDYxh6fSGFTLH0NgCcrulLYgEMj-Ll6jfD9RvgcnUeee35Vk1tG8Kt0Eg,lolorenz#myguy,28,42,"Braum,Gwen,Samira,Sett",35
